image_id,station_id,longitude,latitude,pm25,filename,quality,pm25_bin,year,month,day,hour
1299925057505266,13051,121.2933486700058,25.02758046693232,39.0,1299925057505266.jpg,good,0–50,2024,1,17,0
924249681642820,3705,139.23577666282654,35.35405613952561,19.0,924249681642820.jpg,good,0–50,2017,12,30,0
498043544721455,3278,145.71400344371796,-40.98916743827687,9.0,498043544721455.jpg,good,0–50,2020,1,2,0
944035996420125,11580,32.02493190765381,-28.74729601635,31.0,944035996420125.jpg,good,0–50,2019,6,27,0
886419591948919,6894,4.833378195762634,43.93310803757382,41.0,886419591948919.jpg,good,0–50,2020,4,24,0
1019078585587622,3923,139.63340878486633,35.4606786902814,40.0,1019078585587622.jpg,good,0–50,2018,10,28,0
868278190434758,4237,-124.98780190944672,49.68261744349033,34.0,868278190434758.jpg,good,0–50,2017,10,7,0
376158418236527,7348,-93.05275082588196,44.95178532253857,26.0,376158418236527.jpg,good,0–50,2023,12,19,0
481715046434514,1941,137.07172751426697,34.96475249665929,37.0,481715046434514.jpg,good,0–50,2019,5,2,0
773251094431935,1937,136.96654200553894,35.24404628437364,35.0,773251094431935.jpg,good,0–50,2024,3,19,0
1891693990987173,7339,-89.6860420703888,47.960714330853335,23.0,1891693990987173.jpg,good,0–50,2018,7,8,0
2869961869934252,7375,-72.97137379646301,43.60330239254998,40.0,2869961869934252.jpg,good,0–50,2017,8,4,0
271583751360430,4217,-122.32099950313568,49.04544233673147,13.0,271583751360430.jpg,good,0–50,2020,6,22,0
746315872731045,10933,14.248403906822205,40.85756963256006,28.0,746315872731045.jpg,good,0–50,2019,5,14,0
298043555250026,8363,36.33910417556763,41.28756994762705,37.0,298043555250026.jpg,good,0–50,2019,8,14,0
302788404565338,2892,14.29197907447815,46.62169276090623,31.0,302788404565338.jpg,good,0–50,2016,8,21,0
375371091282353,8669,-2.8942108154296875,56.63797901356847,13.0,375371091282353.jpg,good,0–50,2022,5,12,0
548737684327161,11194,121.5465384721756,25.28760508162415,32.0,548737684327161.jpg,good,0–50,2024,9,17,0
818342662102711,32,-89.2842310667038,48.38078922695698,20.0,818342662102711.jpg,good,0–50,2017,8,11,0
134772589344095,6339,-3.0689406394958496,55.94440864711936,46.0,134772589344095.jpg,good,0–50,2022,9,6,0
1125278991697890,4213,-116.9681042432785,51.302102205236906,31.0,1125278991697890.jpg,good,0–50,2022,7,21,0
225028332343562,5882,-74.14345622062683,40.63865390122393,12.0,225028332343562.jpg,good,0–50,2018,7,25,0
1413078889073272,2674,4.788773059844971,52.428250808286975,45.0,1413078889073272.jpg,good,0–50,2020,2,3,0
304736004637243,10869,8.227166533470154,50.07072031109766,12.0,304736004637243.jpg,good,0–50,2020,3,12,0
276823410818380,3353,20.798041820526123,48.05284814275868,39.0,276823410818380.jpg,good,0–50,2019,8,10,0
276795248110849,5445,-71.24686896800995,46.8094557674909,25.0,276795248110849.jpg,good,0–50,2023,5,23,0
482162976321409,8423,16.122388243675232,43.03577208929465,22.0,482162976321409.jpg,good,0–50,2019,7,10,0
4262995050432107,7634,-68.01423847675323,46.68549751519871,18.0,4262995050432107.jpg,good,0–50,2020,6,26,0
267185662586570,3138,17.590548992156982,48.381312973879886,42.0,267185662586570.jpg,good,0–50,2023,6,27,0
916529016197757,4224,-123.2667088508606,49.37478697404211,10.0,916529016197757.jpg,good,0–50,2021,8,28,0
224963035671120,4707,140.57867288589478,35.71302439848769,42.0,224963035671120.jpg,good,0–50,2020,4,5,0
1125562338338326,3794,138.9859664440155,37.88476551022888,33.0,1125562338338326.jpg,good,0–50,2024,1,26,0
1204684749969800,252,-117.40853369235992,34.00423561617275,46.0,1204684749969800.jpg,good,0–50,2018,9,14,0
545952073232884,8776,39.68330919742584,40.99682006339344,48.0,545952073232884.jpg,good,0–50,2019,3,31,0
394515314902076,7423,-75.79637825489044,39.30396043524223,47.0,394515314902076.jpg,good,0–50,2017,9,25,0
312772740956475,10848,9.669545888900757,50.55039307224024,45.0,312772740956475.jpg,good,0–50,2022,3,28,0
761122187809841,6704,-5.841556191444397,43.366213789146485,27.0,761122187809841.jpg,good,0–50,2018,8,16,0
1237782784257784,10682,-3.936667442321777,51.64249113675072,28.0,1237782784257784.jpg,good,0–50,2024,7,17,0
1183533215429022,5552,129.71883237361908,33.19166701253695,42.0,1183533215429022.jpg,good,0–50,2018,8,25,0
1457544735401922,12503,-0.2598202228546142,51.5413340603493,24.0,1457544735401922.jpg,good,0–50,2025,6,16,0
761869714529145,227,-97.71716594696044,30.2426955173553,35.0,761869714529145.jpg,good,0–50,2017,10,23,0
4639643689383457,11541,130.4610425233841,33.723367008931405,35.0,4639643689383457.jpg,good,0–50,2018,5,13,0
224990389007148,343,-46.53458297252655,-23.455505584398665,29.0,224990389007148.jpg,good,0–50,2020,2,8,0
1484236862549661,9912,140.6744921207428,38.26907501952974,28.0,1484236862549661.jpg,good,0–50,2025,5,6,0
530762714594631,2897,15.14889121055603,47.048041475571466,37.0,530762714594631.jpg,good,0–50,2020,3,8,0
1612912872590142,13988,17.97589123249054,59.36439117671185,40.0,1612912872590142.jpg,good,0–50,2024,8,26,0
653628110709391,2691,7.820962071418762,47.31155120653565,41.0,653628110709391.jpg,good,0–50,2025,3,22,0
159738662647458,5315,-113.89876127243042,45.177726167791775,18.0,159738662647458.jpg,good,0–50,2018,4,1,0
320524242761856,5901,-76.39548182487488,40.34342047166055,25.0,320524242761856.jpg,good,0–50,2018,3,9,0
709094917399147,2148,140.05663454532623,35.6494850982772,31.0,709094917399147.jpg,good,0–50,2022,12,19,0
332431301570565,6560,15.23779034614563,52.739153113006864,48.0,332431301570565.jpg,good,0–50,2020,10,24,0
898226487401975,3554,-149.8172092437744,61.19881318015717,26.0,898226487401975.jpg,good,0–50,2019,4,15,0
2132574303844554,6621,135.38569629192352,34.46876510832024,17.0,2132574303844554.jpg,good,0–50,2024,12,19,0
375063557224683,8363,36.335209608078,41.291834461168406,37.0,375063557224683.jpg,good,0–50,2019,8,14,0
4734133576715908,11735,59.56306993961334,36.30054399941751,41.0,4734133576715908.jpg,good,0–50,2022,4,1,0
470040634103781,4978,-71.5527480840683,-33.015995806188336,44.0,470040634103781.jpg,good,0–50,2019,6,15,0
1242081396694096,14877,175.79874336719513,-39.67779238030698,24.0,1242081396694096.jpg,good,0–50,2023,3,24,0
3915960172002165,2718,14.096639156341553,50.17359994976962,21.0,3915960172002165.jpg,good,0–50,2025,4,19,0
154469313310128,4153,27.21714735031128,41.72599423309978,24.0,154469313310128.jpg,good,0–50,2019,9,29,0
224084472480652,3558,-74.20506656169891,40.64171906236899,46.0,224084472480652.jpg,good,0–50,2018,7,11,0
954974188611321,424,-71.65249943733215,-35.39163453401039,48.0,954974188611321.jpg,good,0–50,2018,2,14,0
